Date,Clicks,Impressions,CTR,Position
2026-02-24,3,212,1.42%,13.7
2026-02-25,1,201,0.5%,10.8
2026-02-26,2,275,0.73%,10.5
2026-02-27,4,286,1.4%,13.6
2026-02-28,1,125,0.8%,10.9
2026-03-01,2,122,1.64%,12.6
2026-03-02,5,117,4.27%,15.2
2026-03-03,2,182,1.1%,20.9
2026-03-04,3,81,3.7%,12.1
2026-03-05,1,133,0.75%,10.7
2026-03-06,3,121,2.48%,9.1
2026-03-07,4,140,2.86%,9.8
2026-03-08,1,97,1.03%,11.8
2026-03-09,1,85,1.18%,12.5
2026-03-10,1,123,0.81%,9.9
2026-03-11,1,109,0.92%,14.9
2026-03-12,1,112,0.89%,9.6
2026-03-13,2,83,2.41%,14.8
2026-03-14,3,109,2.75%,14.8
2026-03-15,1,105,0.95%,12.3
2026-03-16,0,134,0%,11.7
2026-03-17,3,167,1.8%,9.3
2026-03-18,1,149,0.67%,10.2
2026-03-19,5,153,3.27%,9.1
2026-03-20,1,139,0.72%,9.4
2026-03-21,4,136,2.94%,10.6
2026-03-22,2,171,1.17%,8.6
2026-03-23,4,157,2.55%,9.4
2026-03-24,4,116,3.45%,7.7
2026-03-25,7,115,6.09%,8.4
2026-03-26,11,152,7.24%,7.4
2026-03-27,3,119,2.52%,10
2026-03-28,4,171,2.34%,11.2
2026-03-29,3,158,1.9%,9.1
2026-03-30,1,186,0.54%,8.6
2026-03-31,7,181,3.87%,11.2
2026-04-01,4,139,2.88%,12.7
2026-04-02,6,124,4.84%,9.1
2026-04-03,3,161,1.86%,9.3
2026-04-04,3,163,1.84%,8.7
2026-04-05,4,170,2.35%,8.9
2026-04-06,5,207,2.42%,10.3
2026-04-07,3,183,1.64%,8.4
2026-04-08,1,181,0.55%,8.9
2026-04-09,4,253,1.58%,9.2
2026-04-10,4,152,2.63%,7.9
2026-04-11,3,213,1.41%,11
2026-04-12,3,201,1.49%,9.5
2026-04-13,1,183,0.55%,11.2
2026-04-14,4,163,2.45%,8.4
2026-04-15,3,212,1.42%,10.9
2026-04-16,3,184,1.63%,9.6
2026-04-17,3,176,1.7%,10.5
2026-04-18,4,194,2.06%,9.2
2026-04-19,5,234,2.14%,10
2026-04-20,4,185,2.16%,8
2026-04-21,3,180,1.67%,9.3
2026-04-22,3,192,1.56%,10.3
2026-04-23,4,160,2.5%,8.9
2026-04-24,3,131,2.29%,15
2026-04-25,6,145,4.14%,13.4
2026-04-26,4,169,2.37%,8.2
2026-04-27,6,207,2.9%,15.3
2026-04-28,7,136,5.15%,14.1
2026-04-29,2,184,1.09%,12.8
2026-04-30,2,207,0.97%,9.1
2026-05-01,0,186,0%,8.7
2026-05-02,4,165,2.42%,9.8
2026-05-03,10,155,6.45%,9.8
2026-05-04,2,217,0.92%,10.3
2026-05-05,6,263,2.28%,13.5
2026-05-06,2,195,1.03%,12
2026-05-07,4,174,2.3%,10.1
2026-05-08,1,173,0.58%,9.1
2026-05-09,5,244,2.05%,8.6
2026-05-10,9,172,5.23%,8.5
2026-05-11,6,207,2.9%,7.8
2026-05-12,6,183,3.28%,9.8
2026-05-13,6,226,2.65%,12.6
2026-05-14,7,226,3.1%,9.2
2026-05-15,1,118,0.85%,11.6
2026-05-16,6,153,3.92%,9.6
2026-05-17,7,169,4.14%,10.3
2026-05-18,7,145,4.83%,11.4
2026-05-19,3,213,1.41%,10.3
2026-05-20,2,161,1.24%,9.5
2026-05-21,4,176,2.27%,9.3
2026-05-22,5,192,2.6%,10.7
2026-05-23,4,198,2.02%,10.7
