Date,Not indexed,Indexed,Impressions
2026-03-10,,,856
2026-03-11,,,791
2026-03-12,,,939
2026-03-13,,,995
2026-03-14,1852,238,1003
2026-03-15,1844,239,937
2026-03-16,1844,239,877
2026-03-17,1827,247,1085
2026-03-18,1827,247,1151
2026-03-19,1827,247,986
2026-03-20,1827,247,1122
2026-03-21,1819,248,1270
2026-03-22,1819,248,1305
2026-03-23,1819,248,1199
2026-03-24,1330,799,1235
2026-03-25,1330,799,1704
2026-03-26,1330,799,1252
2026-03-27,1330,799,1470
2026-03-28,1287,839,1446
2026-03-29,1287,839,1589
2026-03-30,1287,839,1529
2026-03-31,1258,866,1251
2026-04-01,1258,866,1326
2026-04-02,1258,866,1537
2026-04-03,1258,866,1637
2026-04-04,1224,888,1637
2026-04-05,1224,888,1618
2026-04-06,1190,904,1563
2026-04-07,1190,904,1545
2026-04-08,1190,904,1468
2026-04-09,1190,904,2266
2026-04-10,1175,906,2690
2026-04-11,1175,906,3409
2026-04-12,1175,906,1263
2026-04-13,1162,911,1056
2026-04-14,1162,911,1334
2026-04-15,1162,911,1262
2026-04-16,1162,911,1187
2026-04-17,1146,913,1330
2026-04-18,1146,913,1463
2026-04-19,1146,913,1295
2026-04-20,1115,911,1122
2026-04-21,1115,911,944
2026-04-22,1115,911,910
2026-04-23,1115,911,819
2026-04-24,1110,911,953
2026-04-25,1110,911,971
2026-04-26,1110,911,1586
2026-04-27,1107,899,1874
2026-04-28,1107,899,1021
2026-04-29,1107,899,1521
2026-04-30,1107,899,1475
2026-05-01,1102,900,1228
2026-05-02,1102,900,1238
2026-05-03,1102,900,1350
2026-05-04,1102,896,1136
2026-05-05,1102,896,1579
2026-05-06,1102,896,2996
2026-05-07,1102,896,1482
2026-05-08,1087,895,1319
2026-05-09,1087,895,1225
2026-05-10,1087,895,1290
2026-05-11,1082,893,974
2026-05-12,1082,893,1229
2026-05-13,1082,893,1305
2026-05-14,1082,893,1054
2026-05-15,1071,904,1538
2026-05-16,1071,904,2156
2026-05-17,1071,904,2032
2026-05-18,1046,996,1441
2026-05-19,1046,996,1314
2026-05-20,1046,996,1677
2026-05-21,1046,996,1966
2026-05-22,1186,1018,2101
2026-05-23,1186,1018,2187
2026-05-24,1186,1018,1393
2026-05-25,786,1072,2298
2026-05-26,786,1072,1845
2026-05-27,786,1072,1809
2026-05-28,786,1072,1209
2026-05-29,782,1067,881
2026-05-30,782,1067,924
2026-05-31,782,1067,821
