"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://flyfishingguideschool.com/","text/html; charset=utf-8","200","OK","Indexable","","Fly Fishing Guide School & Training | Smoky Mountains NC","56","517","Four-day fly fishing guide school in the Smoky Mountains. Train under FFI Master Instructors, learn to row, read water, and launch your guide career.","149","914","","0","Fly Fishing Guide School & Skills Development — Smoky Mtns.","59","Which brings you here?","22","Four days that change the way you fish forever.","47","","","","https://flyfishingguideschool.com/","","","","","","143734","23854","23854","3.535","","1697","258","6.578","78.718","Fairly Easy","7.534","0","0","","121","60","0","100.000","24","11","0","14","14","0","","","","","9a0331950c83c323a2c7164517dae0df","0.056","","","","","en","1.1","","","","","","https://flyfishingguideschool.com/","2026-07-09 22:07:07"
"https://flyfishingguideschool.com/_next/static/chunks/app/page-ebe0b55116bf256b.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.193","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/_next/static/chunks/app/page-ebe0b55116bf256b.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","2026-07-09 22:07:08"
"https://flyfishingguideschool.com/reservation-form/","text/html; charset=utf-8","200","OK","Indexable","","Enroll in the Guide School — Reserve Your Spot","46","417","Secure your spot at the Guide School. Complete the reservation form, sign the waiver, and pay your deposit to lock in your enrollment date.","139","850","","0","Reserve Your Spot","17","Reservation Information","23","Stay Connected to the Water","27","","","","https://flyfishingguideschool.com/reservation-form/","","","","","","43753","9364","9364","1.388","","265","56","4.732","84.550","Easy","5.529","1","1","","214","60","0","100.000","12","8","0","9","9","0","","","","","c67004e1887d81bba23b42d998cfc6f7","0.105","","","","","en","1.1","","","","","","https://flyfishingguideschool.com/reservation-form/","2026-07-09 22:07:08"
"https://flyfishingguideschool.com/meet-rowing-fly-casting-fly-fishing-instructors/","text/html; charset=utf-8","200","OK","Indexable","","Our Instructors — Fly Fishing Guide School, Bryson City NC","58","515","Meet the instructors behind the Guide School — led by FFI Master Certified Casting Instructor Mac Brown. Based in Bryson City, NC since 1987.","141","878","","0","Meet the Instructors","20","Meet Our Instructors","20","Michael Bradley","15","","","","https://flyfishingguideschool.com/meet-rowing-fly-casting-fly-fishing-instructors/","","","","","","142794","23679","23679","3.509","","2188","287","7.624","67.905","Normal","10.113","1","1","","148","60","0","100.000","32","26","0","9","9","0","","","","","247f57202e0a8cae99ee2905c3c41bb3","0.104","","","","","en","1.1","","","","","","https://flyfishingguideschool.com/meet-rowing-fly-casting-fly-fishing-instructors/","2026-07-09 22:07:08"
"https://flyfishingguideschool.com/blog/","text/html; charset=utf-8","200","OK","Indexable","","From the River — Fly Fishing Guide School Blog","46","417","Fly casting technique, nymphing, reading water, and guide training tips from Mac Brown's Fly Fishing Guide School in Bryson City, NC.","133","821","","0","From the Water","14","Evolution Of Fly Casting Instruction And Fly Fishing Lessons","60","Setting up an Oar Frame","23","","","","https://flyfishingguideschool.com/blog/","","","","","","69343","12502","12502","1.853","","658","85","7.741","74.521","Fairly Easy","6.551","1","1","","158","60","0","100.000","45","19","0","9","9","0","","","","","3363ce18ce94781e039a03bd53581c7b","0.897","","","","","en","1.1","","","","","","https://flyfishingguideschool.com/blog/","2026-07-09 22:07:08"
"https://flyfishingguideschool.com/images/guide-school-casting.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","49770","49770","49770","7.376","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.149","Thu, 09 Jul 2026 19:21:03 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/guide-school-casting.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/guide-school-rowing.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","453210","453210","453210","67.166","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.144","Thu, 09 Jul 2026 19:21:13 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/guide-school-rowing.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/advanced-casting-class-atlanta-ga.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","54322","54322","54322","8.051","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.130","Thu, 09 Jul 2026 19:21:13 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/advanced-casting-class-atlanta-ga.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/ffgs-logo-94.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1884","1884","1884","0.279","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.859","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/ffgs-logo-94.webp","2026-07-09 22:07:08"
"https://flyfishingguideschool.com/_next/static/css/39b787198267d49b.css?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.172","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/_next/static/css/39b787198267d49b.css?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/fly-fishing-guide-school/","text/html; charset=utf-8","200","OK","Indexable","","4-Day Fly Fishing Guide School — Bryson City, NC","48","432","4-day guide school in Bryson City, NC — master casting, drift boat rowing, water reading, entomology, and guide business skills. FFI Certified since 1987.","154","935","","0","Fly Fishing Guide School","24","Upcoming School Dates","21","The most comprehensive fly fishing school in the nation.","56","","","","https://flyfishingguideschool.com/fly-fishing-guide-school/","","","","","","100625","20437","20437","3.029","","1567","236","6.640","74.734","Fairly Easy","10.376","1","1","","146","60","0","100.000","29","18","0","10","10","0","","","","","23fcf9b6212b3e7257e34b0cc3e84a75","0.123","","","","","en","1.1","","","","","","https://flyfishingguideschool.com/fly-fishing-guide-school/","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/_next/static/chunks/298-f8a1c35d12c10b98.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.199","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/_next/static/chunks/298-f8a1c35d12c10b98.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/mac-brown-seminars-portrait.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","27074","27074","27074","4.012","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.196","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/mac-brown-seminars-portrait.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/raft-casting-three.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","125024","125024","125024","18.529","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.194","Thu, 09 Jul 2026 19:21:03 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/raft-casting-three.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/_next/static/chunks/1048-bc6fa3cf8f40999b.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.129","Thu, 09 Jul 2026 19:07:00 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/_next/static/chunks/1048-bc6fa3cf8f40999b.js?dpl=dpl_9fYX5NGBYtbBGcdtEGFNdp6JUDeh","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/fly-casting-instruction.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","49770","49770","49770","7.376","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.178","Thu, 09 Jul 2026 19:21:13 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/fly-casting-instruction.webp","2026-07-09 22:07:09"
"https://flyfishingguideschool.com/images/youth-kids-casting-class.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","55744","55744","55744","8.261","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.221","Thu, 09 Jul 2026 19:50:46 GMT","","","","","1.1","","","","","","https://flyfishingguideschool.com/images/youth-kids-casting-class.webp","2026-07-09 22:07:09"
